gb|AAKM01001413	AAKM01001413
gb|AAKM01001501	AAKM01001501
gb|AAKM01001506	AAKM01001506
gb|AAKM01001507	AAKM01001507
gb|AAKM01001504	AAKM01001504
gb|AAKM01001505	AAKM01001505
gb|CM000442	CM000442
gb|CM000443	CM000443
gb|CM000444	CM000444
gb|CM000446	CM000446
gb|CM000445	CM000445
gb|CM000448	CM000448
gb|CM000447	CM000447
gb|CM000449	CM000449
gb|AAKM01001509	AAKM01001509
gb|AAKM01001508	AAKM01001508
gb|AAKM01002439	AAKM01002439
gb|AAKM01002437	AAKM01002437
gb|AAKM01002438	AAKM01002438
gb|AAKM01002435	AAKM01002435
gb|AAKM01002436	AAKM01002436
gb|AAKM01002433	AAKM01002433
gb|AAKM01002434	AAKM01002434
gb|AAKM01002431	AAKM01002431
gb|AAKM01002432	AAKM01002432
gb|AAKM01002430	AAKM01002430
gb|AAKM01002428	AAKM01002428
gb|AAKM01002429	AAKM01002429
gb|AAKM01002424	AAKM01002424
gb|AAKM01002425	AAKM01002425
gb|AAKM01002426	AAKM01002426
gb|AAKM01002427	AAKM01002427
gb|AAKM01002420	AAKM01002420
gb|AAKM01002421	AAKM01002421
gb|AAKM01002422	AAKM01002422
gb|AAKM01002423	AAKM01002423
gb|AAKM01000409	AAKM01000409
gb|AAKM01000408	AAKM01000408
gb|AAKM01002415	AAKM01002415
gb|AAKM01002416	AAKM01002416
gb|AAKM01002413	AAKM01002413
gb|AAKM01002414	AAKM01002414
gb|AAKM01002419	AAKM01002419
gb|AAKM01002417	AAKM01002417
gb|AAKM01002418	AAKM01002418
gb|AAKM01000400	AAKM01000400
gb|AAKM01000401	AAKM01000401
gb|AAKM01000402	AAKM01000402
gb|AAKM01000403	AAKM01000403
gb|AAKM01000404	AAKM01000404
gb|AAKM01002411	AAKM01002411
gb|AAKM01000405	AAKM01000405
gb|AAKM01002412	AAKM01002412
gb|AAKM01000406	AAKM01000406
gb|AAKM01000407	AAKM01000407
gb|AAKM01002410	AAKM01002410
gb|AAKM01000419	AAKM01000419
gb|AAKM01002402	AAKM01002402
gb|AAKM01002403	AAKM01002403
gb|AAKM01002404	AAKM01002404
gb|AAKM01002405	AAKM01002405
gb|AAKM01002406	AAKM01002406
gb|AAKM01000410	AAKM01000410
gb|AAKM01002407	AAKM01002407
gb|AAKM01002408	AAKM01002408
gb|AAKM01002409	AAKM01002409
gb|AAKM01000413	AAKM01000413
gb|AAKM01000414	AAKM01000414
gb|AAKM01000411	AAKM01000411
gb|AAKM01000412	AAKM01000412
gb|AAKM01000417	AAKM01000417
gb|AAKM01000418	AAKM01000418
gb|AAKM01000415	AAKM01000415
gb|AAKM01002400	AAKM01002400
gb|AAKM01000416	AAKM01000416
gb|AAKM01002401	AAKM01002401
gb|AAKM01002480	AAKM01002480
gb|AAKM01002481	AAKM01002481
gb|AAKM01000427	AAKM01000427
gb|AAKM01002478	AAKM01002478
gb|AAKM01000426	AAKM01000426
gb|AAKM01002477	AAKM01002477
gb|AAKM01000429	AAKM01000429
gb|AAKM01002476	AAKM01002476
gb|AAKM01000428	AAKM01000428
gb|AAKM01002475	AAKM01002475
gb|AAKM01000423	AAKM01000423
gb|AAKM01002474	AAKM01002474
gb|AAKM01000422	AAKM01000422
gb|AAKM01002473	AAKM01002473
gb|AAKM01000425	AAKM01000425
gb|AAKM01002472	AAKM01002472
gb|AAKM01000424	AAKM01000424
gb|AAKM01002471	AAKM01002471
gb|AAKM01000421	AAKM01000421
gb|AAKM01000420	AAKM01000420
gb|AAKM01002479	AAKM01002479
gb|AAKM01002470	AAKM01002470
gb|AAKM01002465	AAKM01002465
gb|AAKM01000439	AAKM01000439
gb|AAKM01002464	AAKM01002464
gb|AAKM01000438	AAKM01000438
gb|AAKM01002467	AAKM01002467
gb|AAKM01000437	AAKM01000437
gb|AAKM01002466	AAKM01002466
gb|AAKM01000436	AAKM01000436
gb|AAKM01002461	AAKM01002461
gb|AAKM01000435	AAKM01000435
gb|AAKM01002460	AAKM01002460
gb|AAKM01000434	AAKM01000434
gb|AAKM01002463	AAKM01002463
gb|AAKM01000433	AAKM01000433
gb|AAKM01002462	AAKM01002462
gb|AAKM01000432	AAKM01000432
gb|AAKM01000431	AAKM01000431
gb|AAKM01000430	AAKM01000430
gb|AAKM01002469	AAKM01002469
gb|AAKM01002468	AAKM01002468
gb|AAKM01000445	AAKM01000445
gb|AAKM01002452	AAKM01002452
gb|AAKM01000444	AAKM01000444
gb|AAKM01002451	AAKM01002451
gb|AAKM01000447	AAKM01000447
gb|AAKM01002450	AAKM01002450
gb|AAKM01000446	AAKM01000446
gb|AAKM01000449	AAKM01000449
gb|AAKM01002456	AAKM01002456
gb|AAKM01000448	AAKM01000448
gb|AAKM01002455	AAKM01002455
gb|AAKM01002454	AAKM01002454
gb|AAKM01002453	AAKM01002453
gb|AAKM01002459	AAKM01002459
gb|AAKM01002458	AAKM01002458
gb|AAKM01002457	AAKM01002457
gb|AAKM01000441	AAKM01000441
gb|AAKM01000440	AAKM01000440
gb|AAKM01000443	AAKM01000443
gb|AAKM01000442	AAKM01000442
gb|AAKM01000458	AAKM01000458
gb|AAKM01000457	AAKM01000457
gb|AAKM01000456	AAKM01000456
gb|AAKM01002441	AAKM01002441
gb|AAKM01000455	AAKM01000455
gb|AAKM01002440	AAKM01002440
gb|AAKM01002443	AAKM01002443
gb|AAKM01002442	AAKM01002442
gb|AAKM01002445	AAKM01002445
gb|AAKM01000459	AAKM01000459
gb|AAKM01002444	AAKM01002444
gb|AAKM01000450	AAKM01000450
gb|AAKM01002447	AAKM01002447
gb|AAKM01002446	AAKM01002446
gb|AAKM01002449	AAKM01002449
gb|AAKM01002448	AAKM01002448
gb|AAKM01000454	AAKM01000454
gb|AAKM01000453	AAKM01000453
gb|AAKM01000452	AAKM01000452
gb|AAKM01000451	AAKM01000451
gb|AAKM01000350	AAKM01000350
gb|AAKM01001949	AAKM01001949
gb|AAKM01000351	AAKM01000351
gb|AAKM01001948	AAKM01001948
gb|AAKM01000352	AAKM01000352
gb|AAKM01000353	AAKM01000353
gb|AAKM01000354	AAKM01000354
gb|AAKM01000355	AAKM01000355
gb|AAKM01000356	AAKM01000356
gb|AAKM01000357	AAKM01000357
gb|AAKM01000358	AAKM01000358
gb|AAKM01000359	AAKM01000359
gb|AAKM01002107	AAKM01002107
gb|AAKM01002108	AAKM01002108
gb|AAKM01000890	AAKM01000890
gb|AAKM01002105	AAKM01002105
gb|AAKM01002106	AAKM01002106
gb|AAKM01000892	AAKM01000892
gb|AAKM01000891	AAKM01000891
gb|AAKM01000894	AAKM01000894
gb|AAKM01002109	AAKM01002109
gb|AAKM01000893	AAKM01000893
gb|AAKM01000896	AAKM01000896
gb|AAKM01001942	AAKM01001942
gb|AAKM01000895	AAKM01000895
gb|AAKM01001943	AAKM01001943
gb|AAKM01002100	AAKM01002100
gb|AAKM01000898	AAKM01000898
gb|AAKM01001940	AAKM01001940
gb|AAKM01001941	AAKM01001941
gb|AAKM01000897	AAKM01000897
gb|AAKM01001946	AAKM01001946
gb|AAKM01002103	AAKM01002103
gb|AAKM01001947	AAKM01001947
gb|AAKM01000899	AAKM01000899
gb|AAKM01002104	AAKM01002104
gb|AAKM01001944	AAKM01001944
gb|AAKM01002101	AAKM01002101
gb|AAKM01001945	AAKM01001945
gb|AAKM01002102	AAKM01002102
gb|AAKM01001938	AAKM01001938
gb|AAKM01000340	AAKM01000340
gb|AAKM01001937	AAKM01001937
gb|AAKM01001939	AAKM01001939
gb|AAKM01000343	AAKM01000343
gb|AAKM01000344	AAKM01000344
gb|AAKM01000341	AAKM01000341
gb|AAKM01000342	AAKM01000342
gb|AAKM01000347	AAKM01000347
gb|AAKM01000348	AAKM01000348
gb|AAKM01000345	AAKM01000345
gb|AAKM01000346	AAKM01000346
gb|AAKM01000349	AAKM01000349
gb|AAKM01002116	AAKM01002116
gb|AAKM01002117	AAKM01002117
gb|AAKM01002118	AAKM01002118
gb|AAKM01002119	AAKM01002119
gb|AAKM01001000	AAKM01001000
gb|AAKM01000883	AAKM01000883
gb|AAKM01001001	AAKM01001001
gb|AAKM01000882	AAKM01000882
gb|AAKM01001002	AAKM01001002
gb|AAKM01000881	AAKM01000881
gb|AAKM01001003	AAKM01001003
gb|AAKM01001004	AAKM01001004
gb|AAKM01000880	AAKM01000880
gb|AAKM01001005	AAKM01001005
gb|AAKM01000887	AAKM01000887
gb|AAKM01001006	AAKM01001006
gb|AAKM01001930	AAKM01001930
gb|AAKM01000886	AAKM01000886
gb|AAKM01001007	AAKM01001007
gb|AAKM01001931	AAKM01001931
gb|AAKM01000885	AAKM01000885
gb|AAKM01002110	AAKM01002110
gb|AAKM01001008	AAKM01001008
gb|AAKM01001932	AAKM01001932
gb|AAKM01000884	AAKM01000884
gb|AAKM01002111	AAKM01002111
gb|AAKM01001009	AAKM01001009
gb|AAKM01001933	AAKM01001933
gb|AAKM01002112	AAKM01002112
gb|AAKM01001934	AAKM01001934
gb|AAKM01002113	AAKM01002113
gb|AAKM01000889	AAKM01000889
gb|AAKM01001935	AAKM01001935
gb|AAKM01002114	AAKM01002114
gb|AAKM01000888	AAKM01000888
gb|AAKM01001936	AAKM01001936
gb|AAKM01002115	AAKM01002115
gb|AAKM01000374	AAKM01000374
gb|AAKM01000375	AAKM01000375
gb|AAKM01000376	AAKM01000376
gb|AAKM01000377	AAKM01000377
gb|AAKM01000370	AAKM01000370
gb|AAKM01001929	AAKM01001929
gb|AAKM01000371	AAKM01000371
gb|AAKM01001928	AAKM01001928
gb|AAKM01000372	AAKM01000372
gb|AAKM01001927	AAKM01001927
gb|AAKM01000373	AAKM01000373
gb|AAKM01001926	AAKM01001926
gb|AAKM01000378	AAKM01000378
gb|AAKM01000379	AAKM01000379
gb|AAKM01001014	AAKM01001014
gb|AAKM01000870	AAKM01000870
gb|AAKM01001015	AAKM01001015
gb|AAKM01001012	AAKM01001012
gb|AAKM01000872	AAKM01000872
gb|AAKM01001013	AAKM01001013
gb|AAKM01000871	AAKM01000871
gb|AAKM01001010	AAKM01001010
gb|AAKM01001011	AAKM01001011
gb|AAKM01001924	AAKM01001924
gb|AAKM01000878	AAKM01000878
gb|AAKM01001925	AAKM01001925
gb|AAKM01000877	AAKM01000877
gb|AAKM01000380	AAKM01000380
gb|AAKM01001922	AAKM01001922
gb|AAKM01000879	AAKM01000879
gb|AAKM01001923	AAKM01001923
gb|AAKM01001018	AAKM01001018
gb|AAKM01001920	AAKM01001920
gb|AAKM01000874	AAKM01000874
gb|AAKM01001019	AAKM01001019
gb|AAKM01000873	AAKM01000873
gb|AAKM01001921	AAKM01001921
gb|AAKM01001016	AAKM01001016
gb|AAKM01000876	AAKM01000876
gb|AAKM01001017	AAKM01001017
gb|AAKM01000875	AAKM01000875
gb|AAKM01000365	AAKM01000365
gb|AAKM01000366	AAKM01000366
gb|AAKM01001919	AAKM01001919
gb|AAKM01000363	AAKM01000363
gb|AAKM01000364	AAKM01000364
gb|AAKM01000361	AAKM01000361
gb|AAKM01001916	AAKM01001916
gb|AAKM01000362	AAKM01000362
gb|AAKM01001915	AAKM01001915
gb|AAKM01001918	AAKM01001918
gb|AAKM01000360	AAKM01000360
gb|AAKM01001917	AAKM01001917
gb|AAKM01000369	AAKM01000369
gb|AAKM01000367	AAKM01000367
gb|AAKM01000368	AAKM01000368
gb|AAKM01001023	AAKM01001023
gb|AAKM01000861	AAKM01000861
gb|AAKM01001024	AAKM01001024
gb|AAKM01000860	AAKM01000860
gb|AAKM01001025	AAKM01001025
gb|AAKM01001026	AAKM01001026
gb|AAKM01001020	AAKM01001020
gb|AAKM01001021	AAKM01001021
gb|AAKM01001022	AAKM01001022
gb|AAKM01001911	AAKM01001911
gb|AAKM01000869	AAKM01000869
gb|AAKM01000868	AAKM01000868
gb|AAKM01001912	AAKM01001912
gb|AAKM01000867	AAKM01000867
gb|AAKM01001913	AAKM01001913
gb|AAKM01001914	AAKM01001914
gb|AAKM01000866	AAKM01000866
gb|AAKM01001027	AAKM01001027
gb|AAKM01000865	AAKM01000865
gb|AAKM01001028	AAKM01001028
gb|AAKM01000864	AAKM01000864
gb|AAKM01001029	AAKM01001029
gb|AAKM01000863	AAKM01000863
gb|AAKM01001910	AAKM01001910
gb|AAKM01000862	AAKM01000862
gb|AAKM01002500	AAKM01002500
gb|AAKM01000393	AAKM01000393
gb|AAKM01001906	AAKM01001906
gb|AAKM01002504	AAKM01002504
gb|AAKM01000392	AAKM01000392
gb|AAKM01001907	AAKM01001907
gb|AAKM01002503	AAKM01002503
gb|AAKM01000395	AAKM01000395
gb|AAKM01001904	AAKM01001904
gb|AAKM01002502	AAKM01002502
gb|AAKM01000394	AAKM01000394
gb|AAKM01001905	AAKM01001905
gb|AAKM01002501	AAKM01002501
gb|AAKM01000397	AAKM01000397
gb|AAKM01002508	AAKM01002508
gb|AAKM01000396	AAKM01000396
gb|AAKM01002507	AAKM01002507
gb|AAKM01000399	AAKM01000399
gb|AAKM01001908	AAKM01001908
gb|AAKM01002506	AAKM01002506
gb|AAKM01000398	AAKM01000398
gb|AAKM01001909	AAKM01001909
gb|AAKM01002505	AAKM01002505
gb|AAKM01002509	AAKM01002509
gb|AAKM01001903	AAKM01001903
gb|AAKM01001902	AAKM01001902
gb|AAKM01001901	AAKM01001901
gb|AAKM01001900	AAKM01001900
gb|AAKM01000389	AAKM01000389
gb|AAKM01002511	AAKM01002511
gb|AAKM01002510	AAKM01002510
gb|AAKM01000384	AAKM01000384
gb|AAKM01002513	AAKM01002513
gb|AAKM01000383	AAKM01000383
gb|AAKM01002512	AAKM01002512
gb|AAKM01000382	AAKM01000382
gb|AAKM01002515	AAKM01002515
gb|AAKM01000381	AAKM01000381
gb|AAKM01002514	AAKM01002514
gb|AAKM01000388	AAKM01000388
gb|AAKM01002517	AAKM01002517
gb|AAKM01000387	AAKM01000387
gb|AAKM01002516	AAKM01002516
gb|AAKM01000386	AAKM01000386
gb|AAKM01002519	AAKM01002519
gb|AAKM01000385	AAKM01000385
gb|AAKM01002518	AAKM01002518
gb|AAKM01000390	AAKM01000390
gb|AAKM01000391	AAKM01000391
gb|AAKM01001074	AAKM01001074
gb|AAKM01001075	AAKM01001075
gb|AAKM01001076	AAKM01001076
gb|AAKM01001077	AAKM01001077
gb|AAKM01001078	AAKM01001078
gb|AAKM01001079	AAKM01001079
gb|AAKM01000810	AAKM01000810
gb|AAKM01002185	AAKM01002185
gb|AAKM01002186	AAKM01002186
gb|AAKM01002187	AAKM01002187
gb|AAKM01002188	AAKM01002188
gb|AAKM01000814	AAKM01000814
gb|AAKM01002189	AAKM01002189
gb|AAKM01000813	AAKM01000813
gb|AAKM01001490	AAKM01001490
gb|AAKM01000812	AAKM01000812
gb|AAKM01001491	AAKM01001491
gb|AAKM01000811	AAKM01000811
gb|AAKM01001482	AAKM01001482
gb|AAKM01000817	AAKM01000817
gb|AAKM01001481	AAKM01001481
gb|AAKM01000818	AAKM01000818
gb|AAKM01000815	AAKM01000815
gb|AAKM01002191	AAKM01002191
gb|AAKM01001483	AAKM01001483
gb|AAKM01000816	AAKM01000816
gb|AAKM01002190	AAKM01002190
gb|AAKM01001486	AAKM01001486
gb|AAKM01002193	AAKM01002193
gb|AAKM01001485	AAKM01001485
gb|AAKM01002192	AAKM01002192
gb|AAKM01001488	AAKM01001488
gb|AAKM01000819	AAKM01000819
gb|AAKM01002195	AAKM01002195
gb|AAKM01001487	AAKM01001487
gb|AAKM01002194	AAKM01002194
gb|AAKM01001489	AAKM01001489
gb|AAKM01001080	AAKM01001080
gb|AAKM01001082	AAKM01001082
gb|AAKM01001081	AAKM01001081
gb|AAKM01001084	AAKM01001084
gb|AAKM01001083	AAKM01001083
gb|AAKM01001087	AAKM01001087
gb|AAKM01001088	AAKM01001088
gb|AAKM01001085	AAKM01001085
gb|AAKM01001086	AAKM01001086
gb|AAKM01001089	AAKM01001089
gb|AAKM01002198	AAKM01002198
gb|AAKM01002199	AAKM01002199
gb|AAKM01002196	AAKM01002196
gb|AAKM01002197	AAKM01002197
gb|AAKM01000801	AAKM01000801
gb|AAKM01001480	AAKM01001480
gb|AAKM01000800	AAKM01000800
gb|AAKM01000803	AAKM01000803
gb|AAKM01000802	AAKM01000802
gb|AAKM01001473	AAKM01001473
gb|AAKM01000804	AAKM01000804
gb|AAKM01001472	AAKM01001472
gb|AAKM01000805	AAKM01000805
gb|AAKM01001471	AAKM01001471
gb|AAKM01000806	AAKM01000806
gb|AAKM01001470	AAKM01001470
gb|AAKM01000807	AAKM01000807
gb|AAKM01001477	AAKM01001477
gb|AAKM01000808	AAKM01000808
gb|AAKM01001476	AAKM01001476
gb|AAKM01000809	AAKM01000809
gb|AAKM01001475	AAKM01001475
gb|AAKM01001474	AAKM01001474
gb|AAKM01001091	AAKM01001091
gb|AAKM01001090	AAKM01001090
gb|AAKM01001479	AAKM01001479
gb|AAKM01001478	AAKM01001478
gb|AAKM01001095	AAKM01001095
gb|AAKM01001094	AAKM01001094
gb|AAKM01001093	AAKM01001093
gb|AAKM01001092	AAKM01001092
gb|AAKM01001096	AAKM01001096
gb|AAKM01001097	AAKM01001097
gb|AAKM01001098	AAKM01001098
gb|AAKM01001099	AAKM01001099
gb|AAKM01002167	AAKM01002167
gb|AAKM01002168	AAKM01002168
gb|AAKM01002169	AAKM01002169
gb|AAKM01002163	AAKM01002163
gb|AAKM01002164	AAKM01002164
gb|AAKM01002165	AAKM01002165
gb|AAKM01002166	AAKM01002166
gb|AAKM01002171	AAKM01002171
gb|AAKM01002170	AAKM01002170
gb|AAKM01002173	AAKM01002173
gb|AAKM01002172	AAKM01002172
gb|AAKM01001993	AAKM01001993
gb|AAKM01001994	AAKM01001994
gb|AAKM01001991	AAKM01001991
gb|AAKM01001992	AAKM01001992
gb|AAKM01001990	AAKM01001990
gb|AAKM01001999	AAKM01001999
gb|AAKM01002178	AAKM01002178
gb|AAKM01002179	AAKM01002179
gb|AAKM01001997	AAKM01001997
gb|AAKM01002176	AAKM01002176
gb|AAKM01001998	AAKM01001998
gb|AAKM01002177	AAKM01002177
gb|AAKM01001995	AAKM01001995
gb|AAKM01002174	AAKM01002174
gb|AAKM01001996	AAKM01001996
gb|AAKM01002175	AAKM01002175
gb|AAKM01001499	AAKM01001499
gb|AAKM01002184	AAKM01002184
gb|AAKM01001498	AAKM01001498
gb|AAKM01002183	AAKM01002183
gb|AAKM01001497	AAKM01001497
gb|AAKM01002182	AAKM01002182
gb|AAKM01001496	AAKM01001496
gb|AAKM01002181	AAKM01002181
gb|AAKM01001495	AAKM01001495
gb|AAKM01002180	AAKM01002180
gb|AAKM01001494	AAKM01001494
gb|AAKM01001493	AAKM01001493
gb|AAKM01001492	AAKM01001492
gb|AAKM01001039	AAKM01001039
gb|AAKM01001985	AAKM01001985
gb|AAKM01000853	AAKM01000853
gb|AAKM01002142	AAKM01002142
gb|AAKM01001038	AAKM01001038
gb|AAKM01001984	AAKM01001984
gb|AAKM01000854	AAKM01000854
gb|AAKM01002141	AAKM01002141
gb|AAKM01001987	AAKM01001987
gb|AAKM01000851	AAKM01000851
gb|AAKM01002144	AAKM01002144
gb|AAKM01001986	AAKM01001986
gb|AAKM01000852	AAKM01000852
gb|AAKM01002143	AAKM01002143
gb|AAKM01000857	AAKM01000857
gb|AAKM01001989	AAKM01001989
gb|AAKM01002146	AAKM01002146
gb|AAKM01001988	AAKM01001988
gb|AAKM01000858	AAKM01000858
gb|AAKM01002145	AAKM01002145
gb|AAKM01000855	AAKM01000855
gb|AAKM01002148	AAKM01002148
gb|AAKM01000856	AAKM01000856
gb|AAKM01002147	AAKM01002147
gb|AAKM01001031	AAKM01001031
gb|AAKM01001030	AAKM01001030
gb|AAKM01002149	AAKM01002149
gb|AAKM01001033	AAKM01001033
gb|AAKM01001032	AAKM01001032
gb|AAKM01001035	AAKM01001035
gb|AAKM01001981	AAKM01001981
gb|AAKM01001034	AAKM01001034
gb|AAKM01000850	AAKM01000850
gb|AAKM01001980	AAKM01001980
gb|AAKM01001037	AAKM01001037
gb|AAKM01001983	AAKM01001983
gb|AAKM01001036	AAKM01001036
gb|AAKM01001982	AAKM01001982
gb|AAKM01001445	AAKM01001445
gb|AAKM01001446	AAKM01001446
gb|AAKM01001447	AAKM01001447
gb|AAKM01001448	AAKM01001448
gb|AAKM01001449	AAKM01001449
gb|AAKM01001040	AAKM01001040
gb|AAKM01001440	AAKM01001440
gb|AAKM01000859	AAKM01000859
gb|AAKM01001441	AAKM01001441
gb|AAKM01001442	AAKM01001442
gb|AAKM01001443	AAKM01001443
gb|AAKM01002150	AAKM01002150
gb|AAKM01001444	AAKM01001444
gb|AAKM01002151	AAKM01002151
gb|AAKM01001976	AAKM01001976
gb|AAKM01000840	AAKM01000840
gb|AAKM01002155	AAKM01002155
gb|AAKM01000841	AAKM01000841
gb|AAKM01001975	AAKM01001975
gb|AAKM01002154	AAKM01002154
gb|AAKM01001974	AAKM01001974
gb|AAKM01000842	AAKM01000842
gb|AAKM01002153	AAKM01002153
gb|AAKM01001049	AAKM01001049
gb|AAKM01001973	AAKM01001973
gb|AAKM01000843	AAKM01000843
gb|AAKM01002152	AAKM01002152
gb|AAKM01000844	AAKM01000844
gb|AAKM01002159	AAKM01002159
gb|AAKM01000845	AAKM01000845
gb|AAKM01001979	AAKM01001979
gb|AAKM01002158	AAKM01002158
gb|AAKM01001978	AAKM01001978
gb|AAKM01000846	AAKM01000846
gb|AAKM01002157	AAKM01002157
gb|AAKM01001977	AAKM01001977
gb|AAKM01000847	AAKM01000847
gb|AAKM01002156	AAKM01002156
gb|AAKM01001044	AAKM01001044
gb|AAKM01001043	AAKM01001043
gb|AAKM01001042	AAKM01001042
gb|AAKM01001041	AAKM01001041
gb|AAKM01001048	AAKM01001048
gb|AAKM01001972	AAKM01001972
gb|AAKM01001047	AAKM01001047
gb|AAKM01001971	AAKM01001971
gb|AAKM01001046	AAKM01001046
gb|AAKM01001970	AAKM01001970
gb|AAKM01001045	AAKM01001045
gb|AAKM01001436	AAKM01001436
gb|AAKM01001437	AAKM01001437
gb|AAKM01001434	AAKM01001434
gb|AAKM01001435	AAKM01001435
gb|AAKM01001050	AAKM01001050
gb|AAKM01001051	AAKM01001051
gb|AAKM01001438	AAKM01001438
gb|AAKM01001439	AAKM01001439
gb|AAKM01000849	AAKM01000849
gb|AAKM01000848	AAKM01000848
gb|AAKM01001432	AAKM01001432
gb|AAKM01002161	AAKM01002161
gb|AAKM01001433	AAKM01001433
gb|AAKM01002162	AAKM01002162
gb|AAKM01001430	AAKM01001430
gb|AAKM01001431	AAKM01001431
gb|AAKM01002160	AAKM01002160
gb|AAKM01000835	AAKM01000835
gb|AAKM01001967	AAKM01001967
gb|AAKM01002124	AAKM01002124
gb|AAKM01000836	AAKM01000836
gb|AAKM01001966	AAKM01001966
gb|AAKM01002123	AAKM01002123
gb|AAKM01001969	AAKM01001969
gb|AAKM01000833	AAKM01000833
gb|AAKM01002126	AAKM01002126
gb|AAKM01000834	AAKM01000834
gb|AAKM01001968	AAKM01001968
gb|AAKM01002125	AAKM01002125
gb|AAKM01000831	AAKM01000831
gb|AAKM01001963	AAKM01001963
gb|AAKM01002120	AAKM01002120
gb|AAKM01000832	AAKM01000832
gb|AAKM01001962	AAKM01001962
gb|AAKM01001965	AAKM01001965
gb|AAKM01002122	AAKM01002122
gb|AAKM01001964	AAKM01001964
gb|AAKM01000830	AAKM01000830
gb|AAKM01002121	AAKM01002121
gb|AAKM01001057	AAKM01001057
gb|AAKM01001056	AAKM01001056
gb|AAKM01001059	AAKM01001059
gb|AAKM01001961	AAKM01001961
gb|AAKM01001058	AAKM01001058
gb|AAKM01001960	AAKM01001960
gb|AAKM01001053	AAKM01001053
gb|AAKM01002128	AAKM01002128
gb|AAKM01001052	AAKM01001052
gb|AAKM01002127	AAKM01002127
gb|AAKM01001055	AAKM01001055
gb|AAKM01001054	AAKM01001054
gb|AAKM01002129	AAKM01002129
gb|AAKM01001060	AAKM01001060
gb|AAKM01001061	AAKM01001061
gb|AAKM01001062	AAKM01001062
gb|AAKM01001467	AAKM01001467
gb|AAKM01001468	AAKM01001468
gb|AAKM01001469	AAKM01001469
gb|AAKM01001463	AAKM01001463
gb|AAKM01001464	AAKM01001464
gb|AAKM01001465	AAKM01001465
gb|AAKM01001466	AAKM01001466
gb|AAKM01001460	AAKM01001460
gb|AAKM01000839	AAKM01000839
gb|AAKM01001461	AAKM01001461
gb|AAKM01000838	AAKM01000838
gb|AAKM01001462	AAKM01001462
gb|AAKM01000837	AAKM01000837
gb|AAKM01000822	AAKM01000822
gb|AAKM01001958	AAKM01001958
gb|AAKM01002137	AAKM01002137
gb|AAKM01001957	AAKM01001957
gb|AAKM01000823	AAKM01000823
gb|AAKM01002136	AAKM01002136
gb|AAKM01000824	AAKM01000824
gb|AAKM01001956	AAKM01001956
gb|AAKM01002135	AAKM01002135
gb|AAKM01001955	AAKM01001955
gb|AAKM01000825	AAKM01000825
gb|AAKM01002134	AAKM01002134
gb|AAKM01001954	AAKM01001954
gb|AAKM01002133	AAKM01002133
gb|AAKM01001953	AAKM01001953
gb|AAKM01002132	AAKM01002132
gb|AAKM01001952	AAKM01001952
gb|AAKM01000820	AAKM01000820
gb|AAKM01002131	AAKM01002131
gb|AAKM01000821	AAKM01000821
gb|AAKM01001951	AAKM01001951
gb|AAKM01002130	AAKM01002130
gb|AAKM01001950	AAKM01001950
gb|AAKM01001069	AAKM01001069
gb|AAKM01001068	AAKM01001068
gb|AAKM01001067	AAKM01001067
gb|AAKM01001066	AAKM01001066
gb|AAKM01001065	AAKM01001065
gb|AAKM01001064	AAKM01001064
gb|AAKM01002139	AAKM01002139
gb|AAKM01001063	AAKM01001063
gb|AAKM01002138	AAKM01002138
gb|AAKM01001072	AAKM01001072
gb|AAKM01001073	AAKM01001073
gb|AAKM01001070	AAKM01001070
gb|AAKM01001071	AAKM01001071
gb|AAKM01001458	AAKM01001458
gb|AAKM01001459	AAKM01001459
gb|AAKM01001456	AAKM01001456
gb|AAKM01001457	AAKM01001457
gb|AAKM01001454	AAKM01001454
gb|AAKM01001455	AAKM01001455
gb|AAKM01002140	AAKM01002140
gb|AAKM01001452	AAKM01001452
gb|AAKM01001453	AAKM01001453
gb|AAKM01001450	AAKM01001450
gb|AAKM01000827	AAKM01000827
gb|AAKM01001451	AAKM01001451
gb|AAKM01000826	AAKM01000826
gb|AAKM01001959	AAKM01001959
gb|AAKM01000829	AAKM01000829
gb|AAKM01000828	AAKM01000828
gb|AAKM01001619	AAKM01001619
gb|AAKM01001618	AAKM01001618
gb|AAKM01001610	AAKM01001610
gb|AAKM01001611	AAKM01001611
gb|AAKM01001612	AAKM01001612
gb|AAKM01001613	AAKM01001613
gb|AAKM01001614	AAKM01001614
gb|AAKM01001615	AAKM01001615
gb|AAKM01001616	AAKM01001616
gb|AAKM01001617	AAKM01001617
gb|AAKM01001629	AAKM01001629
gb|AAKM01001620	AAKM01001620
gb|AAKM01001623	AAKM01001623
gb|AAKM01001624	AAKM01001624
gb|AAKM01001621	AAKM01001621
gb|AAKM01001622	AAKM01001622
gb|AAKM01001627	AAKM01001627
gb|AAKM01001628	AAKM01001628
gb|AAKM01001625	AAKM01001625
gb|AAKM01001626	AAKM01001626
gb|AAKM01001609	AAKM01001609
gb|AAKM01001608	AAKM01001608
gb|AAKM01001607	AAKM01001607
gb|AAKM01001605	AAKM01001605
gb|AAKM01001606	AAKM01001606
gb|AAKM01001603	AAKM01001603
gb|AAKM01001604	AAKM01001604
gb|AAKM01001601	AAKM01001601
gb|AAKM01001602	AAKM01001602
gb|AAKM01001600	AAKM01001600
gb|AAKM01002760	AAKM01002760
gb|AAKM01002762	AAKM01002762
